freq,citizen,sex,unit,age,asyl_app,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,AT	25675 	85505 	39875 	22455 	11580 	10985 	13400 	37800 	109775 	55605 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BE	14045 	38990 	14250 	14035 	18130 	23105 	12905 	19545 	32100 	29260 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BG	10805 	20160 	18990 	3470 	2465 	2075 	3460 	10890 	20260 	22390 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CH	21940 	38060 	25825 	16615 	13465 	12545 	9725 	13240 	23075 	26820 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CY	1480 	2105 	2840 	4475 	7610 	12695 	7065 	13260 	21590 	11660 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CZ	905 	1235 	1200 	1140 	1350 	1570 	790 	1055 	1335 	1130 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DE	172945 	441805 	722270 	198255 	161885 	142450 	102525 	148175 	217735 	329035 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DK	14535 	20825 	6055 	3125 	3465 	2605 	1420 	1995 	4475 	2355 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EE	145 	225 	150 	180 	90 	100 	45 	75 	2940 	3980 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EL	7585 	11370 	49875 	56940 	64975 	74910 	37860 	22660 	29125 	57895 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ES	5460 	14600 	15570 	33035 	52730 	115175 	86380 	62050 	116135 	160460 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EU27_2020	530560 	1216860 	1166815 	620265 	564115 	631285 	417070 	535985 	873680 	1049020 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FI	3490 	32150 	5275 	4330 	2950 	2445 	1445 	1355 	4815 	4450 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FR	58845 	70570 	76790 	91965 	126580 	138290 	81735 	103790 	137510 	145095 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HR	380 	140 	2150 	880 	675 	1265 	1540 	2480 	2660 	1635 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HU	41215 	174435 	28215 	3115 	635 	465 	90 	40 	45 	30 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IE	1440 	3270 	2235 	2910 	3655 	4740 	1535 	2615 	13645 	13220 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IS	: 	360 	1100 	1065 	730 	805 	625 	865 	4530 	4120 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IT	63655 	82790 	121185 	126550 	53440 	35005 	21330 	45200 	77200 	130565 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LI	: 	: 	75 	145 	145 	40 	25 	80 	70 	70 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LT	385 	275 	415 	520 	385 	625 	260 	3905 	905 	510 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LU	1030 	2360 	2065 	2320 	2225 	2200 	1295 	1365 	2405 	2615 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LV	365 	330 	345 	355 	175 	180 	145 	580 	545 	1625 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ME	: 	: 	: 	: 	3100 	1920 	540 	270 	175 	145 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,MT	1275 	1695 	1735 	1610 	2035 	4015 	2410 	1200 	915 	490 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NL	21780 	43035 	19285 	16090 	20465 	22485 	13660 	24730 	35500 	38320 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NO	10910 	30475 	3245 	3350 	2530 	2165 	1325 	1595 	4650 	5135 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PL	5610 	10255 	9780 	3005 	2405 	2765 	1510 	6240 	7700 	7720 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PT	440 	870 	710 	1015 	1240 	1735 	900 	1350 	1975 	2600 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,RO	1500 	1225 	1855 	4700 	1945 	2455 	6025 	9065 	12065 	9875 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SE	74980 	156115 	22335 	22190 	18075 	23125 	13595 	9015 	13180 	8945 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI	355 	260 	1265 	1435 	2800 	3615 	3465 	5220 	6645 	7185 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK	230 	270 	100 	150 	155 	215 	265 	330 	500 	370 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK	32120 	39720 	39240 	34355 	38400 	44250 	: 	: 	: 	: 
